GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
14.343,-1.221,19.836,-0.991,-0.184,0.27,1746797464.527207,hammering,1
-5.066,-46.265,-18.433,-0.745,0.03,0.444,1746797464.527207,hammering,1
14.282,-6.287,8.423,-0.776,-0.211,0.611,1746797464.644111,hammering,1
10.742,-34.973,16.663,-0.959,-0.085,0.477,1746797464.644111,hammering,1
-6.531,-1.953,-11.902,-0.67,0.089,0.356,1746797464.761631,hammering,1
10.376,16.785,11.23,-1.468,-0.175,0.43,1746797464.868192,hammering,1
15.076,-2.258,30.945,-0.917,0.042,0.33,1746797464.964115,hammering,1
-5.981,-31.738,-27.405,-0.661,-0.014,0.583,1746797465.083836,hammering,1
8.85,-11.23,5.92,-0.818,-0.177,0.694,1746797465.176814,hammering,1
12.268,7.507,24.475,-0.904,0.015,0.421,1746797465.313011,hammering,1
-14.038,-31.311,-50.293,-0.667,-0.039,0.29,1746797465.579839,hammering,1
21.851,33.386,24.475,-0.982,-0.027,0.397,1746797465.579839,hammering,1
7.019,2.93,19.287,-0.896,0.063,0.32,1746797465.752299,hammering,1
-15.076,-29.053,-62.012,-0.763,-0.166,0.378,1746797465.862746,hammering,1
23.56,33.325,18.066,-0.888,-0.148,0.353,1746797465.862746,hammering,1
5.127,-20.447,-2.075,-0.683,0.041,0.385,1746797465.940296,hammering,1
-37.109,-104.858,53.162,-2.642,-0.378,0.232,1746797466.068032,hammering,1
18.677,33.081,21.423,-0.954,-0.168,0.353,1746797466.190463,hammering,1
-8.484,-18.799,-6.958,-0.81,0.094,0.336,1746797466.357353,hammering,1
-30.884,-76.965,8.85,-2.668,-1.341,0.244,1746797466.413363,hammering,1
18.86,-6.836,22.034,-0.908,-0.045,0.497,1746797466.482763,hammering,1
-4.822,-59.082,-40.833,-0.629,-0.037,0.666,1746797466.593592,hammering,1
23.987,35.156,9.827,-0.789,-0.107,0.47,1746797466.681767,hammering,1
19.592,39.49,12.939,-0.93,0.047,0.399,1746797467.810814,hammering,1
-4.578,2.014,-39.856,-0.779,-0.026,0.512,1746797467.919285,hammering,1
14.282,33.264,8.972,-0.826,-0.111,0.288,1746797467.919285,hammering,1
-14.771,-3.174,-49.011,-0.607,-0.101,0.242,1746797467.919285,hammering,1
19.531,34.058,8.545,-0.719,-0.073,0.327,1746797467.919285,hammering,1
16.174,32.349,12.939,-1.05,0.067,0.709,1746797467.930767,hammering,1
-9.949,-46.753,-22.949,-0.761,-0.038,0.486,1746797467.941476,hammering,1
6.47,16.052,17.578,-1.199,-0.108,0.594,1746797467.941476,hammering,1
15.259,-12.085,16.846,-0.861,0.02,0.52,1746797468.122403,hammering,1
-9.521,-6.165,-41.199,-0.723,-0.208,0.426,1746797468.122403,hammering,1
27.222,30.518,11.597,-1.06,-0.072,0.479,1746797468.214967,hammering,1
23.132,0.916,26.978,-0.989,0.038,0.381,1746797468.32562,hammering,1
-1.648,0.793,15.991,-0.798,-0.003,0.331,1746797468.418345,hammering,1
-7.812,-2.869,-12.634,-0.823,-0.021,0.473,1746797468.84054,hammering,1
2.625,2.563,-6.836,-0.996,-0.015,0.497,1746797468.84054,hammering,1
-3.479,0.0,-11.475,-0.732,0.101,0.458,1746797468.948802,hammering,1
15.32,-10.803,3.845,-1.491,0.159,1.153,1746797469.037868,hammering,1
19.409,-33.508,26.978,-0.891,0.056,0.423,1746797469.145756,hammering,1
-3.174,-42.175,-25.94,-0.564,0.018,0.454,1746797469.223803,hammering,1
6.042,-34.851,0.671,-0.976,-0.201,0.864,1746797469.338808,hammering,1
14.893,-16.357,24.963,-0.832,0.031,0.431,1746797469.447412,hammering,1
-9.399,-40.283,-26.306,-0.582,0.001,0.536,1746797469.871865,hammering,1
26.978,57.678,8.911,-0.868,0.086,0.349,1746797469.871865,hammering,1
-17.7,5.432,-46.936,-0.776,0.007,0.278,1746797469.976371,hammering,1
21.423,42.358,12.695,-0.964,-0.082,0.232,1746797470.048744,hammering,1
5.31,8.789,12.146,-0.907,0.103,0.305,1746797470.165881,hammering,1
-35.828,-108.643,0.061,-3.536,-1.83,0.659,1746797470.272684,hammering,1
10.864,-62.317,22.644,-1.161,0.0,0.204,1746797470.37298,hammering,1
-9.46,-26.062,-1.038,-0.857,0.036,0.281,1746797470.475418,hammering,1
29.297,-68.848,-39.795,-1.098,0.207,1.336,1746797470.573576,hammering,1
13.733,-40.649,23.071,-0.961,0.043,0.49,1746797470.62765,hammering,1
-15.503,-10.986,-18.494,-0.54,-0.058,0.379,1746797470.725362,hammering,1
5.981,-8.545,-2.014,-1.379,0.125,0.64,1746797471.159781,hammering,1
10.376,-11.841,31.494,-0.985,0.033,0.502,1746797471.159781,hammering,1
29.053,49.438,12.878,-0.718,-0.028,0.63,1746797471.302993,hammering,1
14.404,13.977,8.728,-0.819,0.083,0.331,1746797471.302993,hammering,1
-43.03,-8.667,-72.327,0.967,-0.077,-0.603,1746797471.397359,hammering,1
18.005,8.911,10.864,-0.891,-0.039,0.346,1746797471.500547,hammering,1
4.456,14.221,12.39,-0.813,0.084,0.285,1746797471.595664,hammering,1
-25.269,-16.602,-59.326,-0.734,-0.072,0.355,1746797471.699262,hammering,1
6.409,-21.79,19.592,-1.021,-0.087,0.362,1746797471.802115,hammering,1
-10.376,-37.842,-18.86,-0.661,0.019,0.416,1746797471.897441,hammering,1
5.31,10.925,11.536,-1.304,-0.026,0.74,1746797472.008384,hammering,1
15.32,7.08,22.583,-0.889,-0.049,0.46,1746797472.214009,hammering,1
